Date,Line item,Key-values,Total impressions
12/17/24,AAO_Adobe_Q4-2024_2595491_Content-Spons_MLT_131224 (190453),refresh=true,159
12/17/24,AAO_Amazon_2024_2596366_Content-Spons_MLT_131224 (198212),refresh=true,907
12/17/24,AAO_Amazon_2024_2596791_Content-Spons_MLT_171224 (172246),refresh=true,347
12/17/24,AAO_Arc_First Impression Takeover,refresh=true,941
12/17/24,AAO_Arc_Homepage Takeover,refresh=true,95
12/17/24,AAO_Arc_House - Backfill,refresh=true,592
12/17/24,AAO_Arc_Native_NTV_01_Below7th_article,refresh=true,8
12/17/24,AAO_Arc_Native_NTV_02_BelowLastParagraph,refresh=true,6
12/17/24,AAO_Arc_Native_NTV_03_RightRail,refresh=true,11
12/17/24,AAO_Arc_Resource-Center-Mid-Leaderboard_Test,refresh=true,1
12/17/24,AAO_Audacy_2024_Webcast_ROS_House_MLT_261124,refresh=true,198
12/17/24,AAO_Audacy_2024_Webcast_ROS_House_MLT_281024,refresh=true,194
12/17/24,AAO_Audacy_2024_Whitepaper_ROS_House_MLT_071124,refresh=true,190
12/17/24,AAO_Audacy_2024_Whitepaper_ROS_House_MLT_091224,refresh=true,198
12/17/24,AAO_Celtra_2024_Webcast_ROS_House_MLT_270924,refresh=true,202
12/17/24,AAO_Clinch_2024_Webcast_ROS_House_MLT_291024,refresh=true,210
12/17/24,AAO_Ezoic_2024_2595326_Content-Spons_MLT_111224 (189909),refresh=true,177
12/17/24,AAO_House_Sponsored-Product-Cards_ROC_PCARD1+PCARD2,refresh=true,2
12/17/24,AAO_Kantar_2024_Whitepaper_ROS_House_MLT_141124,refresh=true,189
12/17/24,AAO_Kantar_2024_Whitepaper_ROS_House_MLT_240924,refresh=true,209
12/17/24,AAO_Klaviyo_2024_Whitepaper_ROS_House_MLT_161224,refresh=true,178
12/17/24,AAO_Meta_2024_Whitepaper_ROS_House_MLT_211124,refresh=true,204
12/17/24,AAO_Nativo_2024_Webcast_ROS_House_MLT_141024,refresh=true,181
12/17/24,AAO_Old-City-Media_2024_Webcast_ROS_House_MLT_051124,refresh=true,231
12/17/24,AAO_Pathlabs_Q4-2024_Webcast_ROS_House_MLT_161024,refresh=true,224
12/17/24,AAO_Premion_2024_2595461_Content-Spons_MLT_121224 (183679),refresh=true,108
12/17/24,AAO_Salesforce_Q4-2024_Whitepaper_ROS_House_MLT_121124,refresh=true,199
12/17/24,AAO_Smartsheet_2024_HUB_ROS_House_MLT_221124,refresh=true,197
12/17/24,AAO_Smartsheet_2024_Whitepaper_ROS_House_MLT_131224,refresh=true,222
12/17/24,AAO_TeenVoice_Q4-2024_Whitepaper_ROS_House_MLT_081124,refresh=true,209
12/17/24,AAO_TikTok_Q4-2024_2595231_Content-Spons_MLT_111224 (195222),refresh=true,559
12/17/24,AAO_Walmart_Q3-Q4_2024_PD_ROS_US_MLT_230924_TEST,refresh=true,107
12/17/24,AAO_Wurl_2024_Webcast_ROS_House_MLT_091024,refresh=true,192
12/17/24,ANE_Marketing_Rising-Stars_MLT_251024,refresh=true,593
12/17/24,ANE_Yura-Corporation_EUCC_MLT_261124 (153137),refresh=true,2
12/17/24,ANO_Ally_UNRT_080724 (155186) (copy 1) (187287),refresh=true,2
12/17/24,ANO_COX-IMS_ANTD_PG_161224 (158687),refresh=true,"4,966"
12/17/24,ANO_Cox_RECS_RTLG_021224_Arc,refresh=true,176
12/17/24,ANO_December_MidLeaderboard_RECS_Web_021224,refresh=true,5
12/17/24,ANO_House_US-Newsletters_MLT_230819 (copy 1),refresh=true,29
12/17/24,ANO_KPA_RECS_RTLG_021224_Arc,refresh=true,360
12/17/24,ANO_Marketing_ActivEngage-12092024_MLT_091224,refresh=true,40
12/17/24,ANO_Marketing_Best-Practices-at-NADA_MLT_071024 (copy 1),refresh=true,576
12/17/24,ANO_Marketing_CallRevu-12112024_MLT_111224,refresh=true,32
12/17/24,ANO_Marketing_Cox-Autotrader-12182023_MLT_061224,refresh=true,27
12/17/24,ANO_Marketing_Widewail-12172024_MLT_171224,refresh=true,285
12/17/24,ANO_Reynolds_FSTV_PG_161224 (150482),refresh=true,"7,591"
12/17/24,ANO_Reynolds_RSHP_011224 (150458),refresh=true,"2,515"
12/17/24,ANO_RolandBerger_OELG_131224,refresh=true,363
12/17/24,ANO_SAP_RECS_RTLG_011124_Arc,refresh=true,189
12/17/24,ANO_Urban-Science_RECS_RTLG_Arc_201124,refresh=true,182
12/17/24,ANO_Warrcloud_RSMR_011224 (194865),refresh=true,119
12/17/24,ANO_Warrcloud_SPTO_161224 (194849),refresh=true,6
12/17/24,CAN_ACCELERATE-AUTO-CANADA_CCDS_161224 (183502),refresh=true,3
12/17/24,CBO_Blocking-Pixel REC03 | REC04 | LB03,refresh=true,6
12/17/24,CBO_Blocking_Pixel_Native (AdUnit),refresh=true,1
12/17/24,CBO_Chicago-Community-Trust_Equity_Article_SP_011024 (186295),refresh=true,1
12/17/24,CBO_City-of-Hope-Cancer-Center-Chicago_Article_SP_MLT_041124 (187205),refresh=true,3
12/17/24,CBO_House_Backfill_MLT_062218,refresh=true,219
12/17/24,CBO_House_Companies-on-the-Move_ROS_Bombora_010124,refresh=true,45
12/17/24,CBO_House_Crain-Currency-Evergreen-Brand-Awareness-Campaign_ROS_MLT_301024,refresh=true,263
12/17/24,CBO_House_Crains-Career-Center_ROS_MLT_211022,refresh=true,229
12/17/24,CBO_House_Crains-Partner-Events_ROS_MLT_190822,refresh=true,280
12/17/24,CBO_House_Dining&Entertainment-Guide_Article_Native_170524,refresh=true,708
12/17/24,CBO_House_Dining&Entertainment-Guide_ROS_MLT_170524,refresh=true,224
